lga_code,lga_name,bulk_billing_rate
20110,ALPINE,0.947583333
20260,ARARAT,0.989916667
20570,BALLARAT,0.967416667
20660,BANYULE,0.788666667
20740,BASS COAST,0.951083333
20830,BAW BAW,0.942666667
20910,BAYSIDE (VIC.),0.687916667
21010,BENALLA,0.91
21110,BOROONDARA,0.74025
21180,BRIMBANK,0.957333333
21270,BULOKE,0.965583333
21370,CAMPASPE,0.972166667
21450,CARDINIA,0.978666667
21610,CASEY,0.978833333
21670,CENTRAL GOLDFIELDS,0.991916667
21750,COLAC OTWAY,0.917583333
21830,CORANGAMITE,0.873
21890,DAREBIN,0.767666667
22110,EAST GIPPSLAND,0.975
22170,FRANKSTON,0.92
22250,GANNAWARRA,0.98825
22310,GLEN EIRA,0.771666667
22410,GLENELG,0.9865
22490,GOLDEN PLAINS,0.94475
22620,GREATER BENDIGO,0.9825
22670,GREATER DANDENONG,0.983
22750,GREATER GEELONG,0.8195
22830,GREATER SHEPPARTON,0.9425
22910,HEPBURN,0.97975
22980,HINDMARSH,0.992666667
23110,HOBSONS BAY,0.880083333
23190,HORSHAM,0.987833333
23270,HUME,0.961166667
23350,INDIGO,0.847083333
23430,KINGSTON (VIC.),0.855916667
23670,KNOX,0.926333333
23810,LATROBE (VIC.),0.984916667
23940,LODDON,0.981916667
24130,MACEDON RANGES,0.968833333
24210,MANNINGHAM,0.9095
24250,MANSFIELD,0.6275
24330,MARIBYRNONG,0.867583333
24410,MAROONDAH,0.869
24600,MELBOURNE,0.774416667
24650,MELTON,0.966666667
24780,MILDURA,0.91925
24850,MITCHELL,0.980666667
24900,MOIRA,0.955083333
24970,MONASH,0.924333333
25060,MOONEE VALLEY,0.811333333
25150,MOORABOOL,0.938083333
25250,MORELAND,0.815583333
25340,MORNINGTON PENINSULA,0.819
25430,MOUNT ALEXANDER,0.991166667
25490,MOYNE,0.853666667
25620,MURRINDINDI,0.946416667
25710,NILLUMBIK,0.767916667
25810,NORTHERN GRAMPIANS,0.98725
25900,PORT PHILLIP,0.63475
25990,PYRENEES,0.971583333
26080,QUEENSCLIFFE,0.923363636
26170,SOUTH GIPPSLAND,0.96725
26260,SOUTHERN GRAMPIANS,0.971916667
26350,STONNINGTON,0.625166667
26430,STRATHBOGIE,0.971083333
26490,SURF COAST,0.851166667
26610,SWAN HILL,0.981
26670,TOWONG,0.840166667
26700,WANGARATTA,0.784583333
26730,WARRNAMBOOL,0.8745
26810,WELLINGTON,0.974916667
26890,WEST WIMMERA,0.975416667
26980,WHITEHORSE,0.880666667
27070,WHITTLESEA,0.964916667
27170,WODONGA,0.828666667
27260,WYNDHAM,0.984583333
27350,YARRA,0.703916667
27450,YARRA RANGES,0.909333333
27630,YARRIAMBIACK,0.992666667
