lga_name,offence_count,offence_rate_per_100k
ALPINE,555,4196.871246551
ARARAT,1566,13390.765053408
BALLARAT,14481,11695.167888803
BANYULE,11496,8647.272150077
BASS COAST,3822,8622.420642796
BAW BAW,5193,8228.657786654
BAYSIDE,5554,5194.495141537
BENALLA,1556,10557.262488267
BOROONDARA,9964,5549.266705312
BRIMBANK,18798,9437.794535767
BULOKE,287,4877.319616438
CAMPASPE,3914,10244.460275977
CARDINIA,9665,7195.137969305
CASEY,31012,7425.913297655
CENTRAL GOLDFIELDS,1441,10449.926752395
COLAC-OTWAY,1934,8656.811895241
CORANGAMITE,992,6284.738770807
DAREBIN,17322,10706.178409165
EAST GIPPSLAND,6497,13055.139969891
FRANKSTON,17293,11894.19257804
GANNAWARRA,862,8293.911563449
GLEN EIRA,7715,4737.23415926
GLENELG,2489,12431.338412828
GOLDEN PLAINS,803,2987.999639755
GREATER BENDIGO,12282,9633.823921868
GREATER DANDENONG,22184,13138.966325418
GREATER GEELONG,25574,8641.130495633
GREATER SHEPPARTON,10548,14954.764124696
HEPBURN,806,4750.192248855
HINDMARSH,367,6724.390116451
HOBSONS BAY,7870,8123.369012717
HORSHAM,2646,12946.819512062
HUME,23441,8364.680569392
INDIGO,598,3341.087233231
KINGSTON,12282,7320.498515435
KNOX,10537,6423.897529923
LATROBE,14172,17839.891251699
LODDON,517,6652.320170907
MACEDON RANGES,2620,4801.251262961
MANNINGHAM,5053,3806.909439678
MANSFIELD,402,3664.368871297
MARIBYRNONG,12466,13078.072240557
MAROONDAH,9033,7514.917754416
MELBOURNE,46695,23997.767543112
MELTON,16851,7219.397673523
MERRI-BEK,14671,7770.662002632
MILDURA,8180,14115.887234634
MITCHELL,5591,9406.06346624
MOIRA,2751,8887.169868521
MONASH,15092,7127.239987408
MOONEE VALLEY,10329,7876.16863939
MOORABOOL,3502,8612.690457144
MORNINGTON PENINSULA,12194,7088.897307473
MOUNT ALEXANDER,1458,6929.792138447
MOYNE,724,4069.821616818
MURRINDINDI,885,5638.570767575
NILLUMBIK,2353,3681.477578014
NORTHERN GRAMPIANS,1584,13475.101587762
PORT PHILLIP,15872,13835.268108672
PYRENEES,528,6576.055030043
QUEENSCLIFFE,76,2142.396280597
SOUTH GIPPSLAND,2633,8420.512805795
SOUTHERN GRAMPIANS,1267,7661.92435477
STONNINGTON,13842,12012.245784253
STRATHBOGIE,672,5665.275698446
SURF COAST,1277,3149.359455332
SWAN HILL,2322,11053.70916451
TOWONG,210,3358.849524711
WANGARATTA,2889,9522.773136436
WARRNAMBOOL,3662,10059.132964736
WELLINGTON,5680,12111.140464753
WEST WIMMERA,180,4681.200135944
WHITEHORSE,11844,6384.159477753
WHITTLESEA,18378,7048.424645566
WODONGA,4260,9334.083662194
WYNDHAM,24450,7001.145237889
YARRA,15763,15435.614067765
YARRA RANGES,8307,5163.582456959
YARRIAMBIACK,507,8068.642236924
