lga_code,lga_name,affordability_pct,affordability_trend,seifa_irsd,school_count,offence_rate_per_100k,bulk_billing_rate,station_count
20110,Alpine,0.385,0.321,1027.6127,11,4196.871246551,0.947583333,0
20260,Ararat,0.69,0.1649999999999999,955.2148,12,13390.765053408,0.989916667,1
20570,Ballarat,0.744,0.311,985.7094,47,11695.167888803,0.967416667,2
20660,Banyule,0.022,-0.013,1057.6847,40,8647.272150077,0.788666667,9
20740,Bass Coast,0.349,0.2229999999999999,992.8285,14,8622.420642796,0.951083333,0
20830,Baw Baw,0.142,0.0299999999999999,1003.3215,35,8228.657786654,0.942666667,5
20910,Bayside,0.0,-0.003,1090.4066,26,5194.495141537,0.687916667,7
21010,Benalla,0.288,0.1479999999999999,968.4479,6,10557.262488267,0.91,1
21110,Boroondara,0.009,0.0039999999999999,1089.6164,52,5549.266705312,0.74025,14
21180,Brimbank,0.204,-0.076,912.4697,56,9437.794535767,0.957333333,8
21270,Buloke,0.9,-0.0999999999999999,975.049,9,4877.319616438,0.965583333,0
21370,Campaspe,0.299,-0.018,964.8686,22,10244.460275977,0.972166667,2
21450,Cardinia,0.05,-0.088,1020.956,41,7195.137969305,0.978666667,9
21610,Casey,0.027,-0.046,994.671,91,7425.913297655,0.978833333,6
21670,Central Goldfields,0.825,0.2179999999999999,897.5571,8,10449.926752395,0.991916667,2
21750,Colac Otway,0.354,0.248,972.5866,16,8656.811895241,0.917583333,0
21830,Corangamite,0.595,0.126,984.5904,13,6284.738770807,0.873,2
21890,Darebin,0.017,-0.022,1018.3424,40,10706.178409165,0.767666667,13
22110,East Gippsland,0.393,0.139,963.3117,32,13055.139969891,0.975,1
22170,Frankston,0.016,-0.031,1003.1363,38,11894.19257804,0.92,4
22250,Gannawarra,0.8,-0.1169999999999999,952.4122,11,8293.911563449,0.98825,1
22310,Glen Eira,0.012,0.003,1074.5926,33,4737.23415926,0.771666667,9
22410,Glenelg,0.554,0.13,952.2992,17,12431.338412828,0.9865,0
22490,Golden Plains,0.453,0.31,1039.9427,13,2987.999639755,0.94475,0
22620,Greater Bendigo,0.234,0.045,984.9621,48,9633.823921868,0.9825,8
22670,Greater Dandenong,0.021,-0.076,886.6579,39,13138.966325418,0.983,5
