lga_code,lga_name
11,ALPINE
26,ARARAT
57,BALLARAT
66,BANYULE
74,BASS COAST
83,BAW BAW
91,BAYSIDE
101,BENALLA
111,BOROONDARA
118,BRIMBANK
127,BULOKE
137,CAMPASPE
145,CARDINIA
161,CASEY
167,CENTRAL GOLDFIELDS
175,COLAC-OTWAY
183,CORANGAMITE
189,DAREBIN
211,EAST GIPPSLAND
217,FRANKSTON
225,GANNAWARRA
231,GLEN EIRA
241,GLENELG
249,GOLDEN PLAINS
262,GREATER BENDIGO
267,GREATER DANDENONG
275,GREATER GEELONG
283,GREATER SHEPPARTON
291,HEPBURN
298,HINDMARSH
311,HOBSONS BAY
319,HORSHAM
327,HUME
335,INDIGO
343,KINGSTON
367,KNOX
381,LATROBE
394,LODDON
413,MACEDON RANGES
421,MANNINGHAM
425,MANSFIELD
433,MARIBYRNONG
441,MAROONDAH
460,MELBOURNE
465,MELTON
525,MERRI-BEK
478,MILDURA
485,MITCHELL
490,MOIRA
497,MONASH
506,MOONEE VALLEY
515,MOORABOOL
534,MORNINGTON PENINSULA
543,MOUNT ALEXANDER
549,MOYNE
562,MURRINDINDI
571,NILLUMBIK
581,NORTHERN GRAMPIANS
590,PORT PHILLIP
599,PYRENEES
608,QUEENSCLIFFE
617,SOUTH GIPPSLAND
626,SOUTHERN GRAMPIANS
635,STONNINGTON
643,STRATHBOGIE
649,SURF COAST
661,SWAN HILL
667,TOWONG
670,WANGARATTA
673,WARRNAMBOOL
681,WELLINGTON
689,WEST WIMMERA
698,WHITEHORSE
707,WHITTLESEA
717,WODONGA
726,WYNDHAM
735,YARRA
745,YARRA RANGES
763,YARRIAMBIACK
