lga_code,lga_name,school_count
11,ALPINE,11
26,ARARAT,12
57,BALLARAT,47
66,BANYULE,40
74,BASS COAST,14
83,BAW BAW,35
91,BAYSIDE,26
101,BENALLA,6
111,BOROONDARA,52
118,BRIMBANK,56
127,BULOKE,9
137,CAMPASPE,22
145,CARDINIA,41
161,CASEY,91
167,CENTRAL GOLDFIELDS,8
175,COLAC-OTWAY,16
183,CORANGAMITE,13
189,DAREBIN,40
211,EAST GIPPSLAND,32
217,FRANKSTON,38
225,GANNAWARRA,11
231,GLEN EIRA,33
241,GLENELG,17
249,GOLDEN PLAINS,13
262,GREATER BENDIGO,48
267,GREATER DANDENONG,39
275,GREATER GEELONG,80
283,GREATER SHEPPARTON,38
291,HEPBURN,13
298,HINDMARSH,7
311,HOBSONS BAY,27
319,HORSHAM,6
327,HUME,67
335,INDIGO,17
343,KINGSTON,43
367,KNOX,46
381,LATROBE,33
394,LODDON,8
413,MACEDON RANGES,27
421,MANNINGHAM,28
425,MANSFIELD,6
433,MARIBYRNONG,19
441,MAROONDAH,32
460,MELBOURNE,20
465,MELTON,46
525,MERRI-BEK,43
478,MILDURA,30
485,MITCHELL,17
490,MOIRA,19
497,MONASH,49
506,MOONEE VALLEY,34
515,MOORABOOL,18
534,MORNINGTON PENINSULA,46
543,MOUNT ALEXANDER,14
549,MOYNE,12
562,MURRINDINDI,14
571,NILLUMBIK,26
581,NORTHERN GRAMPIANS,12
590,PORT PHILLIP,19
599,PYRENEES,9
608,QUEENSCLIFFE,3
617,SOUTH GIPPSLAND,22
626,SOUTHERN GRAMPIANS,17
635,STONNINGTON,22
643,STRATHBOGIE,8
649,SURF COAST,13
661,SWAN HILL,13
667,TOWONG,10
939,UNINCORPORATED VIC,2
670,WANGARATTA,21
673,WARRNAMBOOL,14
681,WELLINGTON,32
689,WEST WIMMERA,5
698,WHITEHORSE,44
707,WHITTLESEA,60
717,WODONGA,14
726,WYNDHAM,68
735,YARRA,27
745,YARRA RANGES,74
763,YARRIAMBIACK,11
