"lga_code","lga_name","value"
20110,"Alpine",1027.6127
20260,"Ararat",955.2148
20570,"Ballarat",985.7094
20660,"Banyule",1057.6847
20740,"Bass Coast",992.8285
20830,"Baw Baw",1003.3215
20910,"Bayside (Vic.)",1090.4066
21010,"Benalla",968.4479
21110,"Boroondara",1089.6164
21180,"Brimbank",912.4697
21270,"Buloke",975.049
21370,"Campaspe",964.8686
21450,"Cardinia",1020.956
21610,"Casey",994.671
21670,"Central Goldfields",897.5571
21750,"Colac Otway",972.5866
21830,"Corangamite",984.5904
21890,"Darebin",1018.3424
22110,"East Gippsland",963.3117
22170,"Frankston",1003.1363
22250,"Gannawarra",952.4122
22310,"Glen Eira",1074.5926
22410,"Glenelg",952.2992
22490,"Golden Plains",1039.9427
22620,"Greater Bendigo",984.9621
22670,"Greater Dandenong",886.6579
22750,"Greater Geelong",1007.331
22830,"Greater Shepparton",944.0409
22910,"Hepburn",1006.2513
22980,"Hindmarsh",940.1014
23110,"Hobsons Bay",1020.6628
23190,"Horsham",990.0981
23270,"Hume",940.8164
23350,"Indigo",1029.4172
23430,"Kingston (Vic.)",1044.2596
23670,"Knox",1042.169
23810,"Latrobe (Vic.)",930.8179
23940,"Loddon",948.104
24130,"Macedon Ranges",1062.8089
24210,"Manningham",1056.0811
24250,"Mansfield",1027.6197
24330,"Maribyrnong",1009.717
24410,"Maroondah",1041.0267
24600,"Melbourne",1016.6848
24650,"Melton",985.1879
24780,"Mildura",940.0018
24850,"Mitchell",999.5476
24900,"Moira",958.2607
24970,"Monash",1042.3084
25060,"Moonee Valley",1040.7155
25150,"Moorabool",1017.2339
25250,"Moreland",1026.5305
25340,"Mornington Peninsula",1037.5384
25430,"Mount Alexander",1007.453
25490,"Moyne",1028.9786
25620,"Murrindindi",1004.6899
25710,"Nillumbik",1092.8736
25810,"Northern Grampians",951.3008
25900,"Port Phillip",1061.0157
25990,"Pyrenees",958.6909
26080,"Queenscliffe",1082.2432
26170,"South Gippsland",1002.5887
26260,"Southern Grampians",993.7304
26350,"Stonnington",1084.476
26430,"Strathbogie",981.9918
26490,"Surf Coast",1086.197
26610,"Swan Hill",940.6168
26670,"Towong",1000.7691
29399,"Unincorporated Vic",1012.4044
26700,"Wangaratta",988.3513
26730,"Warrnambool",994.9478
26810,"Wellington",972.9694
26890,"West Wimmera",991.0073
26980,"Whitehorse",1042.6975
27070,"Whittlesea",989.6036
27170,"Wodonga",973.074
27260,"Wyndham",1005.5163
27350,"Yarra",1045.7414
27450,"Yarra Ranges",1041.2497
27630,"Yarriambiack",945.9261
