lga_code,lga_name,station_count
11,ALPINE,0
26,ARARAT,1
57,BALLARAT,2
66,BANYULE,9
74,BASS COAST,0
83,BAW BAW,5
91,BAYSIDE,7
101,BENALLA,1
111,BOROONDARA,14
118,BRIMBANK,8
127,BULOKE,0
137,CAMPASPE,2
145,CARDINIA,9
161,CASEY,6
167,CENTRAL GOLDFIELDS,2
175,COLAC-OTWAY,0
183,CORANGAMITE,2
189,DAREBIN,13
211,EAST GIPPSLAND,1
217,FRANKSTON,4
225,GANNAWARRA,1
231,GLEN EIRA,9
241,GLENELG,0
249,GOLDEN PLAINS,0
262,GREATER BENDIGO,8
267,GREATER DANDENONG,5
275,GREATER GEELONG,8
283,GREATER SHEPPARTON,3
291,HEPBURN,2
298,HINDMARSH,0
311,HOBSONS BAY,10
319,HORSHAM,0
327,HUME,6
335,INDIGO,1
343,KINGSTON,12
367,KNOX,4
381,LATROBE,3
394,LODDON,2
413,MACEDON RANGES,7
421,MANNINGHAM,0
425,MANSFIELD,0
433,MARIBYRNONG,6
441,MAROONDAH,4
460,MELBOURNE,15
465,MELTON,5
525,MERRI-BEK,13
478,MILDURA,0
485,MITCHELL,7
490,MOIRA,0
497,MONASH,8
506,MOONEE VALLEY,6
515,MOORABOOL,2
534,MORNINGTON PENINSULA,8
543,MOUNT ALEXANDER,1
549,MOYNE,0
562,MURRINDINDI,0
571,NILLUMBIK,4
581,NORTHERN GRAMPIANS,0
590,PORT PHILLIP,2
599,PYRENEES,1
608,QUEENSCLIFFE,0
617,SOUTH GIPPSLAND,0
626,SOUTHERN GRAMPIANS,0
635,STONNINGTON,15
643,STRATHBOGIE,4
649,SURF COAST,1
661,SWAN HILL,1
667,TOWONG,0
670,WANGARATTA,2
673,WARRNAMBOOL,2
681,WELLINGTON,3
689,WEST WIMMERA,0
698,WHITEHORSE,6
707,WHITTLESEA,9
717,WODONGA,1
726,WYNDHAM,6
735,YARRA,9
745,YARRA RANGES,5
763,YARRIAMBIACK,0
